Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Don Anielak,F,24,NYK,1,10,1.8,.260,,1.000,,,,,,,,,,-0.1,0.0,-0.1,-0.263,,,,,
2,Paul Arizin*,SF,26,PHW,72,2953,18.2,.478,,.442,,,,,,,,,,5.8,2.9,8.7,.141,,,,,
3,Jim Baechtold,SF,27,NYK,72,2536,13.9,.479,,.378,,,,,,,,,,4.1,1.8,6.0,.113,,,,,
4,Don Barksdale*,SF,31,BOS,72,1790,14.3,.445,,.484,,,,,,,,,,1.2,1.0,2.2,.059,,,,,
5,Bob Brannum,PF,29,BOS,71,1623,10.8,.424,,.273,,,,,,,,,,0.2,0.9,1.1,.032,,,,,
6,Carl Braun,SG,27,NYK,71,2479,14.6,.454,,.331,,,,,,,,,,2.8,1.9,4.7,.091,,,,,
7,Tom Brennan,SF,24,PHW,11,52,5.6,.455,,.000,,,,,,,,,,0.0,0.0,0.1,.048,,,,,
8,Frankie Brian,SG,31,FTW,71,1381,15.7,.470,,.409,,,,,,,,,,2.5,1.2,3.6,.127,,,,,
9,Bill Calhoun,SG,27,MLH,69,2109,9.0,.389,,.492,,,,,,,,,,-0.9,2.3,1.4,.033,,,,,
10,Bob Carney,SG,22,MNL,19,244,8.7,.423,,.625,,,,,,,,,,0.0,0.3,0.3,.059,,,,,
11,Fred Christ,G,24,NYK,6,48,16.7,.438,,.611,,,,,,,,,,0.0,0.0,0.1,.085,,,,,
12,Cal Christensen,SF,27,ROC,71,1204,13.7,.445,,.675,,,,,,,,,,0.8,1.0,1.7,.069,,,,,
13,Nathaniel Clifton*,PF,32,NYK,72,2390,15.0,.439,,.352,,,,,,,,,,1.3,2.4,3.7,.074,,,,,
14,Jack Coleman,PF,30,ROC,72,2482,18.2,.488,,.211,,,,,,,,,,4.3,1.9,6.2,.121,,,,,
15,Bert Cook,SG,25,NYK,37,424,8.5,.381,,.376,,,,,,,,,,-0.4,0.3,0.0,-0.006,,,,,
16,Chuck Cooper*,PF,28,MLH,70,1749,12.3,.422,,.438,,,,,,,,,,0.2,2.2,2.4,.066,,,,,
17,Larry Costello,PG,23,PHW,19,463,10.5,.385,,.230,,,,,,,,,,-0.2,0.4,0.2,.022,,,,,
18,Bob Cousy*,PG,26,BOS,71,2747,21.3,.480,,.433,,,,,,,,,,6.3,1.5,7.8,.137,,,,,
19,Bob Davies*,PG,35,ROC,72,1870,18.5,.477,,.373,,,,,,,,,,4.0,1.2,5.2,.132,,,,,
20,Walt Davis,C,24,PHW,61,766,9.4,.431,,.264,,,,,,,,,,0.1,0.8,0.9,.057,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,George Dempsey,SG,25,PHW,48,1387,10.8,.417,,.392,,,,,,,,,,0.2,1.4,1.5,.053,,,,,
22,Fred Diute,SG,26,MLH,7,72,-2.3,.209,,.571,,,,,,,,,,-0.4,0.1,-0.3,-0.204,,,,,
23,Dick Farley,SG,22,SYR,69,1113,12.7,.462,,.569,,,,,,,,,,1.3,1.6,3.0,.128,,,,,
24,Ray Felix,C,24,NYK,72,2024,20.4,.494,,.599,,,,,,,,,,4.8,2.5,7.2,.172,,,,,
25,Danny Finn,PG,26,PHW,43,820,10.1,.342,,.325,,,,,,,,,,-1.3,1.0,-0.3,-0.018,,,,,
