1,John Abramovic,1947-1948,BLB
1,John Abramovic,1947-1948,STB
2,Hank Beenders,1947-1948,PHW
2,Hank Beenders,1947-1948,PRO
3,Mike Bloom,1947-1948,BLB
3,Mike Bloom,1947-1948,BOS
4,Carl Braun,1947-1948,NYK
5,Stan Brown,1947-1948,PHW
6,Tommy Byrnes,1947-1948,NYK
7,Ernie Calverley,1947-1948,PRO
8,Chuck Connors,1947-1948,BOS
9,Chink Crossin,1947-1948,PHW
10,Howie Dallmar,1947-1948,PHW
11,Bob Doll,1947-1948,STB
12,Bill Downey,1947-1948,PRO
13,Bulbs Ehlers,1947-1948,BOS
14,Johnny Ezersky,1947-1948,PRO
15,Bob Feerick,1947-1948,WSC
16,Dick Fitzgerald,1947-1948,PRO
17,Jerry Fleishman,1947-1948,PHW
18,Herm Fuetsch,1947-1948,BLB
19,Joe Fulks*,1947-1948,PHW
20,Elmer Gainer,1947-1948,BLB
21,Jack Garfinkel,1947-1948,BOS
22,Chuck Gilmur,1947-1948,CHS
23,Pop Goodwin,1947-1948,PRO
24,Leo Gottlieb,1947-1948,NYK
25,Wyndol Gray,1947-1948,PRO
25,Wyndol Gray,1947-1948,STB
26,Chick Halbert,1947-1948,CHS
26,Chick Halbert,1947-1948,PHW
27,Cecil Hankins,1947-1948,BOS
28,Kleggie Hermsen,1947-1948,BLB
29,Sonny Hertzberg,1947-1948,NYK
29,Sonny Hertzberg,1947-1948,WSC
30,Jack Hewson,1947-1948,BOS
31,Nat Hickey,1947-1948,PRO
32,Art Hillhouse,1947-1948,PHW
33,Charlie Hoefer,1947-1948,BOS
34,Paul Hoffman,1947-1948,BLB
35,Dick Holub,1947-1948,NYK
36,Bob Hubbard,1947-1948,PRO
37,Paul Huston,1947-1948,CHS
38,John Janisch,1947-1948,BOS
38,John Janisch,1947-1948,PRO
39,Buddy Jeannette*,1947-1948,BLB
40,Johnny Jorgensen,1947-1948,BLB
40,Johnny Jorgensen,1947-1948,CHS
41,Ralph Kaplowitz,1947-1948,PHW
42,Jerry Kelly,1947-1948,PRO
43,Herm Klotz,1947-1948,BLB
44,Lee Knorek,1947-1948,NYK
45,Ray Kuka,1947-1948,NYK
46,Grady Lewis,1947-1948,BLB
46,Grady Lewis,1947-1948,STB
47,John Logan,1947-1948,STB
48,John Mahnken,1947-1948,WSC
49,Saul Mariaschin,1947-1948,BOS
50,Dino Martin,1947-1948,PRO
51,Don Martin,1947-1948,STB
52,Ariel Maughan,1947-1948,PRO
52,Ariel Maughan,1947-1948,STB
53,Bones McKinney,1947-1948,WSC
54,Chet McNabb,1947-1948,BLB
55,George Mearns,1947-1948,PRO
56,Carl Meinhold,1947-1948,BLB
57,Stan Miasek,1947-1948,CHS
58,Wat Misaka,1947-1948,NYK
59,George Munroe,1947-1948,BOS
60,Angelo Musi,1947-1948,PHW
61,Paul Noel,1947-1948,NYK
62,Johnny Norlander,1947-1948,WSC
63,George Nostrand,1947-1948,PRO
64,Stan Noszka,1947-1948,BOS
65,Bob O'Brien,1947-1948,PHW
66,Buddy O'Grady,1947-1948,STB
67,Dick O'Keefe,1947-1948,WSC
68,Bud Palmer,1947-1948,NYK
69,Andy Phillip*,1947-1948,CHS
70,Don Putman,1947-1948,STB
71,Chick Reiser,1947-1948,BLB
72,Mel Riebe,1947-1948,BOS
73,Lee Robbins,1947-1948,PRO
74,Red Rocha,1947-1948,STB
75,Gene Rock,1947-1948,CHS
76,Jack Rocker,1947-1948,PHW
77,Irv Rothenberg,1947-1948,BLB
77,Irv Rothenberg,1947-1948,STB
77,Irv Rothenberg,1947-1948,WSC
78,Mickey Rottner,1947-1948,CHS
79,Giff Roux,1947-1948,STB
80,Jerry Rullo,1947-1948,BLB
81,Ed Sadowski,1947-1948,BOS
82,Kenny Sailors,1947-1948,CHS
82,Kenny Sailors,1947-1948,PHW
82,Kenny Sailors,1947-1948,PRO
83,Ben Schadler,1947-1948,CHS
84,Dick Schulz,1947-1948,BLB
85,Fred Scolari,1947-1948,WSC
86,Jim Seminoff,1947-1948,CHS
87,George Senesky,1947-1948,PHW
88,Paul Seymour,1947-1948,BLB
89,Earl Shannon,1947-1948,PRO
90,Connie Simmons,1947-1948,BLB
90,Connie Simmons,1947-1948,BOS
91,Belus Smawley,1947-1948,STB
92,Art Spector,1947-1948,BOS
93,Gene Stump,1947-1948,BOS
94,Stan Stutz,1947-1948,NYK
95,Sid Tanenbaum,1947-1948,NYK
96,Mel Thurston,1947-1948,PRO
97,Jack Tingle,1947-1948,WSC
98,Jack Toomay,1947-1948,CHS
98,Jack Toomay,1947-1948,PRO
99,Irv Torgoff,1947-1948,WSC
100,Butch Van Breda Kolff,1947-1948,NYK
101,Gene Vance,1947-1948,CHS
102,Ray Wertis,1947-1948,PRO
103,Max Zaslofsky,1947-1948,CHS
