Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz,C,26,HOU,48,900,14.5,.467,,.432,,,15.8,7.4,,,,,,0.2,0.8,1.0,.051,,,,,
2,Kareem Abdul-Jabbar*,C,25,MIL,76,3254,28.5,.580,,.260,,,18.2,17.9,,,,,,14.4,7.5,21.9,.322,,,,,
3,Mahdi Abdul-Rahman,PG,30,TOT,55,763,11.5,.464,,.223,,,5.3,21.2,,,,,,0.2,0.9,1.1,.070,,,,,
3,Mahdi Abdul-Rahman,PG,30,BUF,9,134,8.7,.423,,.100,,,3.5,17.9,,,,,,-0.1,0.0,-0.1,-0.036,,,,,
3,Mahdi Abdul-Rahman,PG,30,GSW,46,629,12.1,.476,,.260,,,5.6,22.0,,,,,,0.3,0.9,1.2,.092,,,,,
4,Don Adams,SF,25,TOT,74,1874,10.6,.445,,.271,,,11.4,7.9,,,,,,-0.6,1.5,0.9,.024,,,,,
4,Don Adams,SF,25,ATL,4,76,3.9,.277,,.211,,,13.8,7.9,,,,,,-0.4,0.1,-0.3,-0.219,,,,,
4,Don Adams,SF,25,DET,70,1798,10.9,.454,,.275,,,11.3,7.9,,,,,,-0.2,1.5,1.3,.034,,,,,
5,Rick Adelman,PG,26,POR,76,1822,9.5,.440,,.194,,,4.2,20.4,,,,,,-0.4,0.5,0.1,.003,,,,,
6,Lucius Allen,PG,25,MIL,80,2693,16.0,.508,,.177,,,5.0,21.1,,,,,,3.8,3.8,7.6,.135,,,,,
7,Tiny Archibald*,PG,24,KCO,80,3681,25.2,.555,,.372,,,3.2,38.9,,,,,,13.9,0.3,14.2,.186,,,,,
8,Dennis Awtrey,C,24,TOT,82,1687,12.1,.508,,.502,,,13.2,16.8,,,,,,1.3,3.7,5.0,.141,,,,,
8,Dennis Awtrey,C,24,PHI,3,37,7.6,.400,,.571,,,16.9,6.8,,,,,,0.0,0.0,0.0,-0.004,,,,,
8,Dennis Awtrey,C,24,CHI,79,1650,12.2,.510,,.500,,,13.1,17.0,,,,,,1.3,3.6,5.0,.145,,,,,
9,Dick Barnett,SG,36,NYK,51,514,8.1,.401,,.133,,,3.9,13.0,,,,,,-0.8,0.6,-0.2,-0.022,,,,,
10,Jim Barnett,PG,28,GSW,82,2215,15.2,.517,,.257,,,5.2,17.8,,,,,,3.3,2.8,6.1,.132,,,,,
11,Rick Barry*,SF,28,GSW,82,3075,20.4,.508,,.244,,,10.8,18.5,,,,,,5.2,5.0,10.2,.159,,,,,
12,Butch Beard,PG,25,SEA,73,1403,13.1,.485,,.322,,,5.9,23.9,,,,,,1.0,0.5,1.5,.051,,,,,
13,Walt Bellamy*,C,33,ATL,74,2802,15.9,.527,,.584,,,16.4,8.3,,,,,,4.2,2.9,7.1,.122,,,,,
14,Henry Bibby,PG,23,NYK,55,475,15.1,.472,,.420,,,8.5,17.8,,,,,,0.2,0.8,1.0,.106,,,,,
15,Dave Bing*,PG,29,DET,82,3361,18.3,.514,,.362,,,4.3,26.3,,,,,,6.0,2.7,8.6,.123,,,,,
16,John Block,PF,28,TOT,73,2041,16.7,.514,,.427,,,12.7,8.0,,,,,,3.2,0.9,4.2,.099,,,,,
16,John Block,PF,28,PHI,48,1558,17.6,.511,,.428,,,12.6,8.9,,,,,,2.5,0.9,3.4,.104,,,,,
16,John Block,PF,28,KCO,25,483,13.9,.525,,.422,,,13.0,5.2,,,,,,0.8,0.0,0.8,.082,,,,,
17,Tom Boerwinkle,C,27,CHI,8,176,14.3,.457,,.833,,,15.4,27.5,,,,,,0.0,0.5,0.5,.146,,,,,
18,Freddie Boyd,PG,22,PHI,82,2351,10.1,.425,,.217,,,4.0,17.6,,,,,,-1.7,1.0,-0.7,-0.014,,,,,
19,Steve Bracey,PG,22,ATL,70,1050,12.7,.515,,.278,,,4.9,15.9,,,,,,1.4,0.7,2.1,.097,,,,,
20,Bill Bradley*,SF,29,NYK,82,2998,13.8,.493,,.155,,,5.0,16.8,,,,,,2.9,4.1,7.0,.112,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Bill Bridges,PF,33,TOT,82,2867,12.8,.506,,.353,,,14.3,9.3,,,,,,2.4,4.4,6.7,.113,,,,,
21,Bill Bridges,PF,33,PHI,10,376,13.3,.456,,.520,,,14.5,8.1,,,,,,0.0,0.2,0.2,.028,,,,,
21,Bill Bridges,PF,33,LAL,72,2491,12.7,.518,,.318,,,14.3,9.5,,,,,,2.4,4.1,6.5,.126,,,,,
22,John Brisker,SF,25,SEA,70,1633,16.4,.492,,.292,,,9.3,14.0,,,,,,1.7,0.6,2.3,.069,,,,,
23,Fred Brown,SG,24,SEA,79,2320,16.0,.483,,.143,,,6.5,28.2,,,,,,1.8,1.0,2.8,.057,,,,,
24,Roger Brown,C,22,LAL,1,5,-1.7,.379,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,-0.040,,,,,
25,Corky Calhoun,SF,22,PHO,82,2025,7.5,.501,,.213,,,8.1,4.6,,,,,,1.1,0.9,2.1,.049,,,,,
26,Austin Carr,SG,24,CLE,82,3097,15.4,.488,,.217,,,5.8,14.1,,,,,,2.9,2.9,5.9,.091,,,,,
27,Fred Carter,SG,27,PHI,81,2993,15.2,.455,,.228,,,7.2,17.9,,,,,,-0.3,1.5,1.3,.020,,,,,
28,Wilt Chamberlain*,C,36,LAL,82,3542,19.1,.689,,.776,,,19.6,12.5,,,,,,10.7,7.5,18.2,.247,,,,,
29,Don Chaney,SG,26,BOS,79,2488,13.6,.532,,.311,,,8.1,11.1,,,,,,4.1,4.6,8.7,.168,,,,,
30,Phil Chenier,SG,22,BAL,71,2776,15.2,.486,,.183,,,4.9,15.3,,,,,,2.3,3.1,5.5,.095,,,,,
31,Bob Christian,C,26,ATL,55,759,14.5,.606,,.510,,,19.2,7.5,,,,,,1.6,0.9,2.4,.154,,,,,
32,Archie Clark,PG,31,BAL,39,1477,18.3,.545,,.230,,,4.1,25.8,,,,,,3.6,2.0,5.6,.181,,,,,
33,Jim Cleamons,PG,23,CLE,80,1392,12.4,.491,,.239,,,5.8,20.3,,,,,,1.0,1.6,2.6,.089,,,,,
34,Barry Clemens,SF,29,CLE,72,1119,14.9,.541,,.168,,,9.1,15.2,,,,,,2.2,1.3,3.5,.150,,,,,
35,Mel Counts,C,31,TOT,66,658,16.3,.474,,.197,,,17.5,13.3,,,,,,0.3,1.2,1.5,.111,,,,,
35,Mel Counts,C,31,PHI,7,47,6.2,.313,,.000,,,15.2,8.3,,,,,,-0.1,0.0,-0.1,-0.103,,,,,
35,Mel Counts,C,31,LAL,59,611,17.1,.483,,.209,,,17.7,13.7,,,,,,0.4,1.2,1.6,.127,,,,,
