1,Zaid Abdul-Aziz,1977-1978,HOU
1,Zaid Abdul-Aziz,1977-1978,BOS
2,Kareem Abdul-Jabbar*,1977-1978,LAL
3,Tom Abernethy,1977-1978,LAL
4,Alvan Adams,1977-1978,PHO
5,Lucius Allen,1977-1978,KCK
6,Jim Ard,1977-1978,CHI
6,Jim Ard,1977-1978,BOS
7,Tate Armstrong,1977-1978,CHI
8,Bird Averitt,1977-1978,NJN
8,Bird Averitt,1977-1978,BUF
9,Dennis Awtrey,1977-1978,PHO
10,Gus Bailey,1977-1978,NOJ
11,Greg Ballard,1977-1978,WSB
12,Mike Bantom,1977-1978,IND
13,Marvin Barnes,1977-1978,DET
13,Marvin Barnes,1977-1978,BUF
14,Rick Barry*,1977-1978,GSW
15,Tim Bassett,1977-1978,NJN
16,Butch Beard,1977-1978,NYK
17,Ron Behagen,1977-1978,IND
17,Ron Behagen,1977-1978,HOU
17,Ron Behagen,1977-1978,ATL
18,Mel Bennett,1977-1978,IND
19,Kent Benson,1977-1978,MIL
20,Henry Bibby,1977-1978,PHI
21,Bob Bigelow,1977-1978,KCK
21,Bob Bigelow,1977-1978,BOS
22,Dave Bing*,1977-1978,BOS
23,Otis Birdsong,1977-1978,KCK
24,Tom Boerwinkle,1977-1978,CHI
25,Phil Bond,1977-1978,HOU
26,Ron Boone,1977-1978,KCK
27,Jim Bostic,1977-1978,DET
28,Tom Boswell,1977-1978,BOS
29,Freddie Boyd,1977-1978,NOJ
30,Alonzo Bradley,1977-1978,HOU
31,Mike Bratz,1977-1978,PHO
32,Jim Brewer,1977-1978,CLE
33,Junior Bridgeman,1977-1978,MIL
34,Allan Bristow,1977-1978,SAS
35,Wayman Britt,1977-1978,DET
36,Gary Brokaw,1977-1978,BUF
37,Fred Brown,1977-1978,SEA
38,John Brown,1977-1978,ATL
39,Joe Bryant,1977-1978,PHI
40,Quinn Buckner,1977-1978,MIL
41,Ticky Burden,1977-1978,NYK
42,Tom Burleson,1977-1978,KCK
43,Don Buse,1977-1978,PHO
44,Corky Calhoun,1977-1978,POR
45,Mack Calvin,1977-1978,DEN
46,Austin Carr,1977-1978,CLE
47,Kenny Carr,1977-1978,LAL
48,M.L. Carr,1977-1978,DET
49,Bob Carrington,1977-1978,NJN
49,Bob Carrington,1977-1978,IND
50,Harvey Catchings,1977-1978,PHI
51,Don Chaney,1977-1978,LAL
51,Don Chaney,1977-1978,BOS
52,Ken Charles,1977-1978,ATL
